RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11,RSSI_12,X,Y
-64,-73,-78,-80,-86,-101,-101,-101,-101,-76,-71,-74,0.73,1.58
-69,-78,-80,-71,-89,-94,-101,-101,-101,-80,-78,-75,1.57,2.7
-61,-72,-88,-79,-89,-101,-101,-101,-94,-98,-86,-84,2.82,4.6
-75,-72,-77,-74,-85,-101,-93,-101,-95,-101,-94,-90,0.42,5.71
-72,-63,-72,-74,-80,-89,-91,-101,-91,-91,-91,-86,1.66,8.45
-72,-69,-74,-72,-83,-101,-94,-101,-89,-101,-95,-86,2.75,9.81
-76,-66,-75,-72,-80,-91,-89,-101,-99,-96,-101,-101,0.35,10.81
-71,-69,-66,-69,-86,-90,-90,-101,-96,-101,-90,-91,2.3,11.56
-73,-71,-70,-65,-84,-90,-92,-101,-96,-98,-101,-85,1.26,13.8
-76,-74,-74,-64,-86,-81,-86,-101,-95,-101,-101,-92,1.83,16.19
-96,-91,-81,-65,-75,-81,-87,-101,-101,-101,-97,-98,3.53,14.73
-89,-91,-88,-82,-79,-78,-75,-90,-101,-101,-101,-97,5.5,15.37
-97,-99,-83,-81,-65,-73,-76,-91,-90,-97,-101,-96,6.93,16.53
-93,-97,-89,-86,-78,-74,-89,-92,-94,-87,-93,-96,8.04,14.15
-96,-94,-99,-96,-75,-60,-77,-83,-87,-101,-101,-101,9.68,14.83
-89,-91,-101,-91,-79,-61,-76,-89,-86,-93,-101,-101,10.91,15.42
-92,-96,-98,-81,-77,-69,-73,-84,-88,-91,-101,-101,12.6,15.99
-95,-101,-98,-87,-82,-71,-71,-80,-81,-88,-101,-93,13.71,14.49
-101,-101,-101,-79,-79,-73,-70,-79,-84,-90,-99,-101,14.19,16.47
-94,-96,-101,-80,-81,-74,-68,-74,-79,-79,-90,-96,15.33,15.73
-99,-95,-101,-96,-84,-72,-68,-72,-79,-85,-89,-101,16.34,14.8
-94,-95,-100,-94,-82,-83,-64,-74,-85,-77,-90,-101,15.35,13.47
-94,-97,-101,-87,-93,-80,-68,-71,-71,-79,-93,-96,16.36,11.35
-96,-96,-101,-99,-84,-91,-70,-68,-76,-81,-94,-94,14.43,10.34
-91,-94,-101,-93,-87,-93,-72,-68,-68,-76,-86,-101,14.96,8.64
-95,-101,-94,-92,-92,-86,-67,-69,-69,-75,-85,-91,14.96,7.39
-92,-100,-101,-96,-98,-89,-70,-65,-71,-76,-84,-97,16.56,5.89
-101,-94,-101,-94,-89,-90,-75,-72,-71,-69,-86,-91,15.29,5.13
-96,-101,-96,-84,-89,-101,-78,-74,-77,-63,-85,-82,14.5,3.1
-89,-101,-101,-82,-94,-94,-78,-69,-76,-69,-81,-80,16.17,2.35
-81,-98,-101,-94,-91,-96,-73,-72,-75,-70,-78,-74,15.73,0.74
-86,-101,-96,-93,-93,-94,-84,-85,-94,-62,-81,-78,14.0,1.28
-89,-101,-93,-91,-95,-93,-91,-94,-84,-71,-74,-85,12.88,0.31
-85,-101,-96,-84,-89,-89,-86,-91,-91,-68,-77,-78,11.77,1.77
-80,-101,-98,-82,-101,-101,-96,-84,-89,-74,-66,-75,10.26,2.63
-76,-101,-91,-84,-88,-96,-94,-88,-96,-73,-67,-71,8.5,1.11
-76,-88,-91,-88,-101,-101,-91,-92,-91,-83,-74,-63,7.14,2.65
-72,-86,-86,-76,-84,-93,-89,-101,-99,-84,-77,-67,5.67,2.9
-65,-91,-82,-87,-82,-94,-101,-98,-101,-80,-78,-66,3.85,1.34
-67,-76,-89,-79,-91,-97,-101,-93,-99,-86,-81,-67,2.48,0.42
