RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11,RSSI_12,X,Y
-69.0,-82.0,-85.0,-80.0,-96.0,-101.0,-101.0,-101.0,-99.0,-78.0,-76.0,-80.0,1,1
-66.0,-75.0,-80.0,-75.0,-88.0,-100.0,-101.0,-101.0,-95.0,-76.0,-75.0,-78.0,1,2
-68.0,-74.0,-80.0,-76.0,-88.0,-96.0,-101.0,-99.0,-98.0,-89.0,-80.0,-78.0,1,3
-68.0,-73.0,-82.0,-77.0,-90.0,-99.0,-101.0,-99.0,-92.0,-96.0,-82.0,-80.0,1,4
-69.0,-71.0,-81.0,-78.0,-93.0,-101.0,-101.0,-100.0,-90.0,-95.0,-91.0,-83.0,1,5
-70.0,-62.0,-78.0,-77.0,-92.0,-94.0,-96.0,-101.0,-94.0,-90.0,-87.0,-85.0,1,6
-71.0,-62.0,-77.0,-73.0,-86.0,-88.0,-94.0,-97.0,-94.0,-91.0,-90.0,-88.0,1,7
-73.0,-64.0,-75.0,-75.0,-90.0,-96.0,-94.0,-100.0,-97.0,-97.0,-94.0,-88.0,1,8
-69.0,-65.0,-68.0,-70.0,-84.0,-93.0,-96.0,-100.0,-86.0,-95.0,-91.0,-90.0,1,9
-74.0,-66.0,-66.0,-69.0,-90.0,-91.0,-91.0,-100.0,-86.0,-97.0,-88.0,-91.0,1,10
-72.0,-66.0,-70.0,-68.0,-80.0,-87.0,-88.0,-96.0,-100.0,-96.0,-92.0,-90.0,1,11
-75.0,-70.0,-70.0,-64.0,-87.0,-90.0,-88.0,-90.0,-89.0,-97.0,-91.0,-92.0,1,12
-70.0,-72.0,-72.0,-66.0,-86.0,-85.0,-87.0,-96.0,-90.0,-95.0,-93.0,-86.0,1,13
-70.0,-69.0,-72.0,-66.0,-80.0,-84.0,-90.0,-101.0,-94.0,-88.0,-98.0,-90.0,1,14
-75.0,-73.0,-75.0,-69.0,-81.0,-78.0,-82.0,-99.0,-98.0,-92.0,-99.0,-94.0,1,15
-78.0,-75.0,-78.0,-69.0,-82.0,-79.0,-81.0,-101.0,-94.0,-98.0,-101.0,-93.0,1,16
