X,Y,Z,Angle,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,Label
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,-79,-82,-81,-66,-85,-89,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,-78,-85,-83,-65,-77,-87,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,-87,-83,-81,-69,-83,-82,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,-78,-83,-83,-66,-80,-79,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,-87,-84,-81,-66,-77,-83,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,-78,-83,-81,-66,-82,-79,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,-87,-86,-82,-69,-79,-83,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,-79,-84,-82,-66,-76,-79,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,-79,-85,-81,-65,-87,-87,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,-89,-84,-82,-68,-77,-83,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,-79,-85,-85,-65,-83,-79,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,-78,-84,-88,-69,-76,-88,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-74,-86,-86,-84,-66,-84,-81,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,-88,-85,-89,-65,-83,-79,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-73,-83,-86,-86,-68,-77,-81,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-63,-80,-89,-86,-65,-83,-79,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-73,-86,-84,-86,-66,-78,-84,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-57,-81,-84,-86,-70,-81,-83,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-58,-78,-84,-86,-66,-88,-79,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-58,-86,-86,-86,-69,-78,-85,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-57,-81,-86,-86,-66,-82,-82,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-58,-78,-86,-86,-66,-89,-79,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-57,-89,-84,-89,-70,-77,-85,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-58,-78,-89,-85,-66,-84,-79,1
1.565999984741211,2.657000064849853,0.5969999432563782,90.0,-58,-88,-84,-87,-67,-76,-78,1
